models/lightgbm/boosting_type,models/lightgbm/learning_rate,models/lightgbm/n_estimators,models/lightgbm/num_leaves,preproc/rmf/pca/model/kernel,preproc/rmf/pca/model/n_components,Accuracy,SD on test folds
dart,0.05,1000,127,linear,25,0.3936356894597991,0.035018023991204614
dart,0.05,1000,127,sigmoid,3,0.4877690966228803,0.023859357884127075
dart,0.05,1000,127,sigmoid,10,0.4739736715070695,0.024070406914392956
dart,0.05,1000,127,sigmoid,25,0.4646044843507946,0.03596339402589345
dart,0.1,100,31,linear,3,0.4363075384814065,0.0565996355730585
dart,0.1,100,31,linear,10,0.450794326558154,0.049668231827324064
dart,0.1,100,31,linear,25,0.41135523555449227,0.043913746865063816
dart,0.1,100,31,sigmoid,3,0.483459734096627,0.011947764761841156
dart,0.1,100,31,sigmoid,10,0.4747808840161694,0.02264449387962294
dart,0.1,100,31,sigmoid,25,0.48311291979320703,0.04213805573857755
dart,0.1,100,63,linear,3,0.43965267666276003,0.05976910689304059
dart,0.1,100,63,linear,10,0.4357529040389906,0.04661754882704125
dart,0.1,100,63,linear,25,0.39515225757731376,0.03540057109796231
dart,0.1,100,63,sigmoid,3,0.4825376675624877,0.019228265528994964
dart,0.1,100,63,sigmoid,10,0.4732503997652963,0.02586590780651146
dart,0.1,100,63,sigmoid,25,0.47909316771931687,0.04151834117098416
dart,0.1,100,127,linear,3,0.43780544593770926,0.05707087538247122
dart,0.1,100,127,linear,10,0.4472221079851019,0.047868037694649083
dart,0.1,100,127,linear,25,0.39501632077893983,0.042284202568606113
dart,0.1,100,127,sigmoid,3,0.4848429866024199,0.01634598127162167
dart,0.1,100,127,sigmoid,10,0.477651882176919,0.022246891484690685
dart,0.1,100,127,sigmoid,25,0.48046555966877946,0.04193462626922632
dart,0.1,500,31,linear,3,0.44203780843826407,0.05889290439305755
dart,0.1,500,31,linear,10,0.43586313169449564,0.04994672171110231
dart,0.1,500,31,linear,25,0.3972588793886985,0.03242193910917662
dart,0.1,500,31,sigmoid,3,0.47779722530907076,0.024967967478584055
dart,0.1,500,31,sigmoid,10,0.4721180100043392,0.024801231023670826
dart,0.1,500,31,sigmoid,25,0.47086013153785383,0.036255664055569826
dart,0.1,500,63,linear,3,0.444071902583115,0.0639670424130344
dart,0.1,500,63,linear,10,0.43060164706610465,0.044163205590965246
dart,0.1,500,63,linear,25,0.39558121021979525,0.03230083717479778
dart,0.1,500,63,sigmoid,3,0.4885796756576086,0.020703844642960094
dart,0.1,500,63,sigmoid,10,0.46762236123172796,0.023775691605539162
dart,0.1,500,63,sigmoid,25,0.4655834216355495,0.037654366118385
dart,0.1,500,127,linear,3,0.4408620759051626,0.05650348552923684
dart,0.1,500,127,linear,10,0.43781925814654343,0.04214767390260491
dart,0.1,500,127,linear,25,0.39470835595650855,0.032768195975269546
dart,0.1,500,127,sigmoid,3,0.4813951128371,0.01948051853173557
dart,0.1,500,127,sigmoid,10,0.47324028763635095,0.021644685323250663
dart,0.1,500,127,sigmoid,25,0.4677554241158499,0.040722764462643925
dart,0.1,1000,31,linear,3,0.4387428675908292,0.06439336982953048
dart,0.1,1000,31,linear,10,0.4277912122168074,0.05038766583712772
dart,0.1,1000,31,linear,25,0.3971826428789627,0.03296551237752636
dart,0.1,1000,31,sigmoid,3,0.4764159212809188,0.022296641167365728
dart,0.1,1000,31,sigmoid,10,0.46409999203423713,0.026855096223537284
dart,0.1,1000,31,sigmoid,25,0.46984762168665267,0.03573253418580679
dart,0.1,1000,63,linear,3,0.4384064981480115,0.05291914637301084
dart,0.1,1000,63,linear,10,0.43086371775606985,0.044662328527935224
dart,0.1,1000,63,linear,25,0.393973687524129,0.03530756009098122
dart,0.1,1000,63,sigmoid,3,0.4770941186350709,0.021653494175891783
dart,0.1,1000,63,sigmoid,10,0.46959514886162335,0.026678676678186453
dart,0.1,1000,63,sigmoid,25,0.46476308697464414,0.03738950406891254
dart,0.1,1000,127,linear,3,0.43708365043134234,0.05287664903397747
dart,0.1,1000,127,linear,10,0.43980368313534157,0.04462081105545387
dart,0.1,1000,127,linear,25,0.3970993118195636,0.03441994145518329
dart,0.1,1000,127,sigmoid,3,0.47795367206560224,0.022726449646905834
dart,0.1,1000,127,sigmoid,10,0.47140069026357895,0.02107669102592302
dart,0.1,1000,127,sigmoid,25,0.4651109033192616,0.03648396922989493
gbdt,0.01,100,31,linear,3,0.34512492662611427,0.014855394678846391
gbdt,0.01,100,31,linear,10,0.34856194519511857,0.02074473215700652
gbdt,0.01,100,31,linear,25,0.34191225626741584,0.007597311773411883
gbdt,0.01,100,31,sigmoid,3,0.374048833400496,0.031721326483583105
gbdt,0.01,100,31,sigmoid,10,0.3773413655169702,0.014744661697790859
gbdt,0.01,100,31,sigmoid,25,0.3746709619098585,0.02136007520348611
gbdt,0.01,100,63,linear,3,0.34871007401334003,0.01826081237630236
gbdt,0.01,100,63,linear,10,0.3489288430343561,0.016206548988726584
gbdt,0.01,100,63,linear,25,0.34198675452296146,0.007160790655332229
gbdt,0.01,100,63,sigmoid,3,0.3827955855716422,0.022341633727173987
gbdt,0.01,100,63,sigmoid,10,0.37833001173449377,0.017505681878930836
gbdt,0.01,100,63,sigmoid,25,0.3759866362499976,0.01767541186912169
gbdt,0.01,100,127,linear,3,0.3526962382579425,0.025181987876375243
gbdt,0.01,100,127,linear,10,0.34910599266440806,0.017929430739140648
gbdt,0.01,100,127,linear,25,0.34222012416494285,0.006808326574856495
gbdt,0.01,100,127,sigmoid,3,0.3862657960634555,0.019838297563908692
gbdt,0.01,100,127,sigmoid,10,0.3811412508909509,0.016049225321708886
gbdt,0.01,100,127,sigmoid,25,0.37931803105258105,0.01732687316190086
gbdt,0.01,500,31,linear,3,0.4348377854196487,0.06229989319479024
gbdt,0.01,500,31,linear,10,0.43704927192751003,0.048685072327221204
gbdt,0.01,500,31,linear,25,0.4048600531121421,0.039575413378551236
gbdt,0.01,500,31,sigmoid,3,0.475972626471974,0.010992526634323044
gbdt,0.01,500,31,sigmoid,10,0.4671849214089184,0.030407804688801995
gbdt,0.01,500,31,sigmoid,25,0.47933176062732874,0.03337308648352985
gbdt,0.01,500,63,linear,3,0.4344204647194294,0.05749038637095542
gbdt,0.01,500,63,linear,10,0.4289806652887519,0.04625681372093678
gbdt,0.01,500,63,linear,25,0.3964149610356703,0.039130857294655465
gbdt,0.01,500,63,sigmoid,3,0.4822311042186258,0.01730693458595342
gbdt,0.01,500,63,sigmoid,10,0.46215029586824274,0.03236066478739442
gbdt,0.01,500,63,sigmoid,25,0.46671729809009416,0.03306942621323884
gbdt,0.01,500,127,linear,3,0.43705839073689356,0.05873104524826444
gbdt,0.01,500,127,linear,10,0.4284626750668664,0.047981950071263685
gbdt,0.01,500,127,linear,25,0.3920160481649827,0.036819267284018645
gbdt,0.01,500,127,sigmoid,3,0.4857731967383939,0.014714928609683715
gbdt,0.01,500,127,sigmoid,10,0.4691376960819742,0.023852787052431185
gbdt,0.01,500,127,sigmoid,25,0.4658414622061412,0.028437726168993354
gbdt,0.01,1000,31,linear,3,0.43784545585117407,0.06507882781070919
gbdt,0.01,1000,31,linear,10,0.4280453080183988,0.052553231727867994
gbdt,0.01,1000,31,linear,25,0.40585472670449735,0.03884668159496196
gbdt,0.01,1000,31,sigmoid,3,0.47442409585873807,0.00995729227283582
gbdt,0.01,1000,31,sigmoid,10,0.4659518896504401,0.02120064893822271
gbdt,0.01,1000,31,sigmoid,25,0.470813338308594,0.03478930225692263
gbdt,0.01,1000,63,linear,3,0.43307341347369616,0.05889401730307401
gbdt,0.01,1000,63,linear,10,0.4343843623619447,0.04690185475654962
gbdt,0.01,1000,63,linear,25,0.3945300091362726,0.03694503344857461
gbdt,0.01,1000,63,sigmoid,3,0.4801787950226345,0.02258955433143911
gbdt,0.01,1000,63,sigmoid,10,0.4647237133323318,0.030950858059885265
gbdt,0.01,1000,63,sigmoid,25,0.46285752423950594,0.0370782210482071
gbdt,0.01,1000,127,linear,3,0.43957406792826453,0.06673331166679936
gbdt,0.01,1000,127,linear,10,0.42948783068524754,0.05289548546852159
gbdt,0.01,1000,127,linear,25,0.3936976581229779,0.03466495943734527
gbdt,0.01,1000,127,sigmoid,3,0.48562069158741455,0.020750698339310064
gbdt,0.01,1000,127,sigmoid,10,0.4691947301347891,0.026367231888419086
gbdt,0.01,1000,127,sigmoid,25,0.46222543070263045,0.03577288865079636
gbdt,0.05,100,31,linear,3,0.437452868686377,0.06342976697968222
gbdt,0.05,100,31,linear,10,0.441028181198476,0.050867457304137796
gbdt,0.05,100,31,linear,25,0.40922762123968637,0.04811206553149682
gbdt,0.05,100,31,sigmoid,3,0.4728167689754522,0.01674379458657093
gbdt,0.05,100,31,sigmoid,10,0.467201819736723,0.023204308046261866
gbdt,0.05,100,31,sigmoid,25,0.4801347869299267,0.03758353527001832
gbdt,0.05,100,63,linear,3,0.43798228805918143,0.06434140701133119
gbdt,0.05,100,63,linear,10,0.42257513115170103,0.054465755245876143
gbdt,0.05,100,63,linear,25,0.3949325523223812,0.04392973014891992
gbdt,0.05,100,63,sigmoid,3,0.48077805221590514,0.011112160025254069
gbdt,0.05,100,63,sigmoid,10,0.46920890951379074,0.030167355178243364
gbdt,0.05,100,63,sigmoid,25,0.4730663841980542,0.037043572257630775
gbdt,0.05,100,127,linear,3,0.443715917209939,0.059208376420881614
gbdt,0.05,100,127,linear,10,0.42819064331982937,0.04788417121590452
gbdt,0.05,100,127,linear,25,0.3936249534885973,0.03983430347286067
gbdt,0.05,100,127,sigmoid,3,0.4866126624870436,0.015339130769416632
gbdt,0.05,100,127,sigmoid,10,0.4653822064282159,0.0287874846314414
gbdt,0.05,100,127,sigmoid,25,0.4730120306630461,0.03306864481077341
gbdt,0.05,500,31,linear,3,0.4373899300064231,0.0606464334178587
gbdt,0.05,500,31,linear,10,0.43191093866213465,0.054013353715536276
gbdt,0.05,500,31,linear,25,0.4028775244262091,0.03197033012990545
gbdt,0.05,500,31,sigmoid,3,0.4837126079718299,0.024137629853553343
gbdt,0.05,500,31,sigmoid,10,0.4668248687883187,0.02796224866812819
gbdt,0.05,500,31,sigmoid,25,0.46823666212235615,0.03581664022094703
gbdt,0.05,500,63,linear,3,0.4402301795288343,0.05846091530162144
gbdt,0.05,500,63,linear,10,0.4255240733827194,0.04194193700539703
gbdt,0.05,500,63,linear,25,0.3951466787272644,0.03602406494071535
gbdt,0.05,500,63,sigmoid,3,0.4756478075527114,0.02698839655492519
gbdt,0.05,500,63,sigmoid,10,0.46387038782587203,0.022189648893282232
gbdt,0.05,500,63,sigmoid,25,0.46730922572227945,0.035078934165142586
gbdt,0.05,500,127,linear,3,0.44001481968540956,0.05595890986227188
gbdt,0.05,500,127,linear,10,0.43140676919771526,0.04353201304562012
